CHR	POS1	POS2	n_motif_snps	max_abs_delta	strongest_effect	anchor_summary	GENOME
chr1	9267242	9267302	1	2.19748	1	SNP that moderately affects CTCF motif strength.	GM
chr1	29181940	29182134	3	3.49015369138	1	SNP that moderately affects CTCF motif strength.	GM
chr1	30719326	30719506	1	2.03703	1	SNP that moderately affects CTCF motif strength.	GM
chr1	30782988	30783126	1	6.76971	2	SNP that strongly alters CTCF motif strength.	GM
chr1	32892813	32893513	4	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr1	37990013	37990235	3	7.55873	2	SNP that strongly alters CTCF motif strength.	GM
chr1	39799070	39799850	3	6.47047828881	2	SNP that strongly alters CTCF motif strength.	GM
chr1	41432846	41432932	1	4.39379	1	SNP that moderately affects CTCF motif strength.	GM
chr1	54070235	54070305	1	1.32264	1	SNP that moderately affects CTCF motif strength.	GM
chr1	70528863	70528993	1	1.40125757635	1	SNP that moderately affects CTCF motif strength.	GM
chr1	75842491	75842881	1	0.100111	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	78114347	78114727	2	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr1	84753672	84753762	3	3.03132	1	SNP that moderately affects CTCF motif strength.	GM
chr1	89085945	89086065	2	18.747	2	SNP that strongly alters CTCF motif strength.	GM
chr1	101238875	101238999	1	1.51109817719	1	SNP that moderately affects CTCF motif strength.	GM
chr1	109532425	109532525	1	2.29926	1	SNP that moderately affects CTCF motif strength.	GM
chr1	109640365	109640451	3	2.03703	1	SNP that moderately affects CTCF motif strength.	GM
chr1	111747402	111747448	1	0.123174	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	153352582	153352686	1	0.0384061	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	153617749	153617807	3	7.35449	2	SNP that strongly alters CTCF motif strength.	GM
chr1	156383111	156383187	1	3.78690070305	1	SNP that moderately affects CTCF motif strength.	GM
chr1	157496186	157496284	1	4.27107	1	SNP that moderately affects CTCF motif strength.	GM
chr1	160835132	160835182	2	5.2514	2	SNP that strongly alters CTCF motif strength.	GM
chr1	160951543	160951583	3	3.4827779732	1	SNP that moderately affects CTCF motif strength.	GM
chr1	161566305	161566399	1	0.178408647244	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	162878133	162878347	1	1.36486284556	1	SNP that moderately affects CTCF motif strength.	GM
chr1	167715444	167715746	1	2.80884783528	1	SNP that moderately affects CTCF motif strength.	GM
chr1	178542519	178542851	3	2.95939	1	SNP that moderately affects CTCF motif strength.	GM
chr1	182069091	182069300	1	4.34799	1	SNP that moderately affects CTCF motif strength.	GM
chr1	183916060	183916240	1	0.2559925885	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	196723490	196723580	1	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr1	196827861	196828319	1	1.38163115769	1	SNP that moderately affects CTCF motif strength.	GM
chr1	199954861	199954909	1	5.48125	2	SNP that strongly alters CTCF motif strength.	GM
chr1	202160578	202160816	2	0.599121	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	202184797	202184897	1	0.170312	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	202719712	202719794	1	0.599121	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	204989386	204989560	1	0.599121	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	205588761	205588970	1	0.100111	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	207812007	207812107	2	2.91680585687	1	SNP that moderately affects CTCF motif strength.	GM
chr1	207997937	207998023	2	0.0	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	211649168	211649222	2	7.19516	2	SNP that strongly alters CTCF motif strength.	GM
chr1	220296395	220296477	1	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	222465457	222465619	1	0.0	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr1	242936905	242936961	3	1.84070861363	1	SNP that moderately affects CTCF motif strength.	GM
chr2	10435063	10435137	1	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr2	18117782	18117896	2	6.14194	2	SNP that strongly alters CTCF motif strength.	GM
chr2	18387834	18387936	1	1.61482861376	1	SNP that moderately affects CTCF motif strength.	GM
chr2	19350079	19350673	1	2.95939	1	SNP that moderately affects CTCF motif strength.	GM
chr2	20642535	20642591	1	2.17451	1	SNP that moderately affects CTCF motif strength.	GM
chr2	24083592	24084962	1	0.333875911821	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr2	25277321	25277530	2	1.86221	1	SNP that moderately affects CTCF motif strength.	GM
chr2	33475685	33475991	1	0.371762933606	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr2	38115372	38115440	2	4.27107	1	SNP that moderately affects CTCF motif strength.	GM
chr2	46461414	46461772	2	1.86713	1	SNP that moderately affects CTCF motif strength.	GM
chr2	46541715	46542749	1	2.28109127863	1	SNP that moderately affects CTCF motif strength.	GM
chr2	55620221	55620430	1	3.51586847216	1	SNP that moderately affects CTCF motif strength.	GM
chr2	64488109	64488281	1	1.86713	1	SNP that moderately affects CTCF motif strength.	GM
chr2	69375880	69376030	1	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr2	71157622	71157716	1	3.99297865003	1	SNP that moderately affects CTCF motif strength.	GM
chr2	100263000	100263108	1	2.46186	1	SNP that moderately affects CTCF motif strength.	GM
chr2	106098238	106098328	3	3.17321	1	SNP that moderately affects CTCF motif strength.	GM
chr2	108928533	108928637	1	0.355934492603	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr2	113979627	113979899	3	4.20342	1	SNP that moderately affects CTCF motif strength.	GM
chr2	118882752	118882902	2	1.00333597573	1	SNP that moderately affects CTCF motif strength.	GM
chr2	127050271	127050373	1	4.17557	1	SNP that moderately affects CTCF motif strength.	GM
chr2	153287290	153287404	1	2.01789	1	SNP that moderately affects CTCF motif strength.	GM
chr2	160994542	160994626	1	0.650791	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr2	163169657	163169741	2	1.43094700257	1	SNP that moderately affects CTCF motif strength.	GM
chr2	173402544	173402626	1	6.88317994846	2	SNP that strongly alters CTCF motif strength.	GM
chr2	176097697	176097819	2	1.89666384739	1	SNP that moderately affects CTCF motif strength.	GM
chr2	176140449	176140957	1	0.0	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr2	177029631	177029840	2	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr2	189094434	189094546	1	2.17451	1	SNP that moderately affects CTCF motif strength.	GM
chr2	196068319	196068667	2	8.05316	2	SNP that strongly alters CTCF motif strength.	GM
