variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines
chr1_101238875_101238999	0.447	0.001	chr1	101238875	101238999	CTCF_ENCSR000DKV	22.0	30.0	30	CTCF	11884.0	11878.989	11884.0	124	0	1
chr1_101238875_101238999	0.177	0.001	chr1	101238875	101238999	CTCF_ENCSR000DRZ	23.0	26.0	26	CTCF	11884.0	11878.989	11884.0	124	0	1
chr1_101309250_101309720	-0.469	-0.004	chr1	101309250	101309720	CTCF_ENCSR000AKB	18.0	13.0	18	CTCF	10562.005	10592.0	10592.0	470	0	1
chr1_101309250_101309720	0.061	-0.004	chr1	101309250	101309720	CTCF_ENCSR000DKV	23.0	24.0	24	CTCF	10562.005	10592.0	10592.0	470	1	1
chr1_101520318_101520536	0.276	0.01	chr1	101520318	101520536	CTCF_ENCSR000AKB	19.0	23.0	23	CTCF	8409.0	8353.0	8409.0	218	1	1
chr1_101520318_101520536	0.214	0.01	chr1	101520318	101520536	CTCF_ENCSR000DKV	25.0	29.0	29	CTCF	8409.0	8353.0	8409.0	218	2	1
chr1_101520318_101520536	-0.759	0.01	chr1	101520318	101520536	CTCF_ENCSR000DRZ	22.0	13.0	22	CTCF	8409.0	8353.0	8409.0	218	2	1
chr1_101567716_101567812	-0.074	0.016	chr1	101567716	101567812	CTCF_ENCSR000AKB	20.0	19.0	20	CTCF	11450.0	11324.011	11450.0	96	2	1
chr1_101567716_101567812	0.263	0.016	chr1	101567716	101567812	CTCF_ENCSR000DKV	20.0	24.0	24	CTCF	11450.0	11324.011	11450.0	96	3	1
chr1_101567716_101567812	0.276	0.016	chr1	101567716	101567812	CTCF_ENCSR000DRZ	19.0	23.0	23	CTCF	11450.0	11324.011	11450.0	96	3	1
chr1_1019276_1019776	-1.248	0.02	chr1	1019276	1019776	CTCF_ENCSR000DKV	19.0	8.0	19	CTCF	4027.0	3970.516	4027.0	500	4	0
chr1_1019276_1019776	-1.17	0.02	chr1	1019276	1019776	CTCF_ENCSR000DRZ	18.0	8.0	18	CTCF	4027.0	3970.516	4027.0	500	4	0
chr1_10210346_10210508	-1.254	-0.0	chr1	10210346	10210508	CTCF_ENCSR000AKB	31.0	13.0	31	CTCF	13403.994	13408.0	13408.0	162	3	0
chr1_10210346_10210508	0.044	-0.0	chr1	10210346	10210508	CTCF_ENCSR000DKV	32.0	33.0	33	CTCF	13403.994	13408.0	13408.0	162	5	1
chr1_10210346_10210508	-0.119	-0.0	chr1	10210346	10210508	CTCF_ENCSR000DRZ	38.0	35.0	38	CTCF	13403.994	13408.0	13408.0	162	5	1
chr1_107197143_107197217	0.585	-0.001	chr1	107197143	107197217	CTCF_ENCSR000AKB	14.0	21.0	21	CTCF	4589.0	4591.0	4591.0	74	4	1
chr1_107197143_107197217	0.107	-0.001	chr1	107197143	107197217	CTCF_ENCSR000DKV	26.0	28.0	28	CTCF	4589.0	4591.0	4591.0	74	6	1
chr1_107197143_107197217	-0.193	-0.001	chr1	107197143	107197217	CTCF_ENCSR000DRZ	16.0	14.0	16	CTCF	4589.0	4591.0	4591.0	74	6	1
chr1_109532425_109532525	-0.547	0.09	chr1	109532425	109532525	CTCF_ENCSR000AKB	19.0	13.0	19	CTCF	14378.0	13506.055	14378.0	100	5	1
chr1_109532425_109532525	0.472	0.09	chr1	109532425	109532525	CTCF_ENCSR000DKV	31.0	43.0	43	CTCF	14378.0	13506.055	14378.0	100	7	1
chr1_109532983_109533047	-0.374	-0.037	chr1	109532983	109533047	CTCF_ENCSR000DKV	35.0	27.0	35	CTCF	10164.022	10428.0	10428.0	64	8	1
chr1_109532983_109533047	0.193	-0.037	chr1	109532983	109533047	CTCF_ENCSR000DRZ	14.0	16.0	16	CTCF	10164.022	10428.0	10428.0	64	8	1
chr1_109640365_109640451	-0.263	-0.027	chr1	109640365	109640451	CTCF_ENCSR000AKB	18.0	15.0	18	CTCF	14228.02	14500.0	14500.0	86	6	1
chr1_109640365_109640451	0.193	-0.027	chr1	109640365	109640451	CTCF_ENCSR000DKV	28.0	32.0	32	CTCF	14228.02	14500.0	14500.0	86	9	1
chr1_109640365_109640451	0.642	-0.027	chr1	109640365	109640451	CTCF_ENCSR000DRZ	25.0	39.0	39	CTCF	14228.02	14500.0	14500.0	86	9	1
chr1_111197722_111197774	-4.129	-3.962	chr1	111197722	111197774	CTCF_ENCSR000DKV	35.0	2.0	35	CTCF	657.935	10256.0	10256.0	52	10	1
chr1_111197722_111197774	-4.644	-3.962	chr1	111197722	111197774	CTCF_ENCSR000DRZ	25.0	1.0	25	CTCF	657.935	10256.0	10256.0	52	10	1
chr1_111222898_111223204	0.415	-0.0	chr1	111222898	111223204	CTCF_ENCSR000DKV	21.0	28.0	28	CTCF	8091.999	8094.0	8094.0	306	11	1
chr1_111222898_111223204	0.441	-0.0	chr1	111222898	111223204	CTCF_ENCSR000DRZ	14.0	19.0	19	CTCF	8091.999	8094.0	8094.0	306	11	1
chr1_111334311_111334403	-0.354	0.021	chr1	111334311	111334403	CTCF_ENCSR000DKV	23.0	18.0	23	CTCF	9061.0	8929.52	9061.0	92	12	1
chr1_111747402_111747448	-0.152	-0.02	chr1	111747402	111747448	CTCF_ENCSR000DKV	40.0	36.0	40	CTCF	11700.018	11860.0	11860.0	46	13	1
chr1_111747402_111747448	1.29	-0.02	chr1	111747402	111747448	CTCF_ENCSR000DRZ	9.0	22.0	22	CTCF	11700.018	11860.0	11860.0	46	12	0
chr1_115112895_115113061	1.152	-0.0	chr1	115112895	115113061	CTCF_ENCSR000AKB	9.0	20.0	20	CTCF	12230.006	12234.0	12234.0	166	7	0
chr1_115112895_115113061	0.547	-0.0	chr1	115112895	115113061	CTCF_ENCSR000DKV	13.0	19.0	19	CTCF	12230.006	12234.0	12234.0	166	14	1
chr1_115112895_115113061	-0.372	-0.0	chr1	115112895	115113061	CTCF_ENCSR000DRZ	22.0	17.0	22	CTCF	12230.006	12234.0	12234.0	166	13	1
chr1_116152063_116152379	0.888	-0.005	chr1	116152063	116152379	CTCF_ENCSR000DKV	20.0	37.0	37	CTCF	9382.014	9413.0	9413.0	316	15	1
chr1_116152063_116152379	0.202	-0.005	chr1	116152063	116152379	CTCF_ENCSR000DRZ	20.0	23.0	23	CTCF	9382.014	9413.0	9413.0	316	14	1
chr1_116737401_116737569	0.637	-0.011	chr1	116737401	116737569	CTCF_ENCSR000DKV	27.0	42.0	42	CTCF	10796.014	10882.0	10882.0	168	16	1
chr1_116737401_116737569	0.248	-0.011	chr1	116737401	116737569	CTCF_ENCSR000DRZ	16.0	19.0	19	CTCF	10796.014	10882.0	10882.0	168	15	1
chr1_119744180_119744328	-0.064	0.036	chr1	119744180	119744328	CTCF_ENCSR000DKV	23.0	22.0	23	CTCF	10156.0	9906.016	10156.0	148	17	1
chr1_119744180_119744328	1.0	0.036	chr1	119744180	119744328	CTCF_ENCSR000DRZ	13.0	26.0	26	CTCF	10156.0	9906.016	10156.0	148	16	1
chr1_12601408_12601486	1.17	0.138	chr1	12601408	12601486	CTCF_ENCSR000DKV	8.0	18.0	18	CTCF	6377.0	5795.092	6377.0	78	18	0
chr1_150166123_150166257	-0.202	-0.012	chr1	150166123	150166257	CTCF_ENCSR000DKV	23.0	20.0	23	CTCF	9538.012	9616.0	9616.0	134	19	1
chr1_15100471_15100623	-0.585	0.007	chr1	15100471	15100623	CTCF_ENCSR000AKB	18.0	12.0	18	CTCF	13740.0	13676.008	13740.0	152	8	1
chr1_15100471_15100623	-0.199	0.007	chr1	15100471	15100623	CTCF_ENCSR000DKV	31.0	27.0	31	CTCF	13740.0	13676.008	13740.0	152	20	1
chr1_15100471_15100623	1.115	0.007	chr1	15100471	15100623	CTCF_ENCSR000DRZ	12.0	26.0	26	CTCF	13740.0	13676.008	13740.0	152	17	0
chr1_152460174_152460512	1.585	0.0	chr1	152460174	152460512	CTCF_ENCSR000AKB	6.0	18.0	18	CTCF	1910.0	1910.0	1910.0	338	9	0
chr1_152460174_152460512	1.12	0.0	chr1	152460174	152460512	CTCF_ENCSR000DKV	23.0	50.0	50	CTCF	1910.0	1910.0	1910.0	338	21	0
chr1_152460174_152460512	1.078	0.0	chr1	152460174	152460512	CTCF_ENCSR000DRZ	9.0	19.0	19	CTCF	1910.0	1910.0	1910.0	338	18	0
