variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines
chr1_1019276_1019776	-1.17	0.02	chr1	1019276	1019776	CTCF_ENCSR000DRZ	18.0	8.0	18	CTCF	4027.0	3970.516	4027.0	500	4	0
chr1_111197722_111197774	-4.644	-3.962	chr1	111197722	111197774	CTCF_ENCSR000DRZ	25.0	1.0	25	CTCF	657.935	10256.0	10256.0	52	10	1
chr1_111747402_111747448	1.29	-0.02	chr1	111747402	111747448	CTCF_ENCSR000DRZ	9.0	22.0	22	CTCF	11700.018	11860.0	11860.0	46	12	0
chr1_15100471_15100623	1.115	0.007	chr1	15100471	15100623	CTCF_ENCSR000DRZ	12.0	26.0	26	CTCF	13740.0	13676.008	13740.0	152	17	0
chr1_152460174_152460512	1.078	0.0	chr1	152460174	152460512	CTCF_ENCSR000DRZ	9.0	19.0	19	CTCF	1910.0	1910.0	1910.0	338	18	0
chr1_153617749_153617807	-4.7	-4.948	chr1	153617749	153617807	CTCF_ENCSR000DRZ	26.0	1.0	26	CTCF	290.718	8975.0	8975.0	58	20	1
chr1_157489521_157489593	-1.044	0.014	chr1	157489521	157489593	CTCF_ENCSR000DRZ	33.0	16.0	33	CTCF	9769.5	9674.752	9769.5	72	25	0
chr1_16032964_16033072	-1.115	0.016	chr1	16032964	16033072	CTCF_ENCSR000DRZ	26.0	12.0	26	CTCF	10821.0	10698.013	10821.0	108	28	0
chr1_16187847_16188025	1.138	0.024	chr1	16187847	16188025	CTCF_ENCSR000DRZ	15.0	33.0	33	CTCF	13131.0	12913.024	13131.0	178	31	0
chr1_182069091_182069300	-4.858	-5.167	chr1	182069091	182069300	CTCF_ENCSR000DRZ	29.0	1.0	29	CTCF	232.972	8371.0	8371.0	209	38	1
chr1_196723490_196723580	-2.773	-0.821	chr1	196723490	196723580	CTCF_ENCSR000DRZ	41.0	6.0	41	CTCF	7269.44	12844.0	12844.0	90	40	0
chr1_199954861_199954909	-3.0	-3.776	chr1	199954861	199954909	CTCF_ENCSR000DRZ	16.0	2.0	16	CTCF	356.427	4883.0	4883.0	48	41	1
chr1_200803045_200803121	-1.263	0.009	chr1	200803045	200803121	CTCF_ENCSR000DRZ	24.0	10.0	24	CTCF	11035.0	10967.006	11035.0	76	42	0
chr1_202160578_202160816	-2.263	-0.544	chr1	202160578	202160816	CTCF_ENCSR000DRZ	24.0	5.0	24	CTCF	2862.315	4173.0	4173.0	238	43	0
chr1_204989386_204989560	1.115	0.003	chr1	204989386	204989560	CTCF_ENCSR000DRZ	12.0	26.0	26	CTCF	15544.0	15512.016	15544.0	174	45	0
chr1_20575422_20575452	2.737	0.732	chr1	20575422	20575452	CTCF_ENCSR000DRZ	3.0	20.0	20	CTCF	12304.0	7407.396	12304.0	30	46	0
