CHR	POS1	POS2	n_motif_snps	max_abs_delta	strongest_effect	anchor_summary	GENOME
chr1	30782988	30783126	1	6.76971	2	SNP that strongly alters CTCF motif strength.	GM
chr1	89085945	89086065	2	18.747	2	SNP that strongly alters CTCF motif strength.	GM
chr1	153617749	153617807	3	7.35449	2	SNP that strongly alters CTCF motif strength.	GM
chr1	182069091	182069300	1	4.34799	1	SNP that moderately affects CTCF motif strength.	GM
chr1	196827861	196828319	1	1.38163115769	1	SNP that moderately affects CTCF motif strength.	GM
chr1	211649168	211649222	2	7.19516	2	SNP that strongly alters CTCF motif strength.	GM
chr2	24083592	24084962	1	0.333875911821	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr2	113979627	113979899	3	4.20342	1	SNP that moderately affects CTCF motif strength.	GM
chr4	4335398	4335458	1	0.660687	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr4	156378259	156378319	1	11.1706386208	2	SNP that strongly alters CTCF motif strength.	GM
chr5	33470723	33470777	2	15.8512293955	2	SNP that strongly alters CTCF motif strength.	GM
chr5	120656016	120656046	2	5.56286	2	SNP that strongly alters CTCF motif strength.	GM
chr5	133287677	133287723	1	3.77968	1	SNP that moderately affects CTCF motif strength.	GM
chr5	151239370	151239472	2	8.15327	2	SNP that strongly alters CTCF motif strength.	GM
chr5	152462226	152462684	3	6.76971	2	SNP that strongly alters CTCF motif strength.	GM
chr7	23545053	23545173	2	8.05316	2	SNP that strongly alters CTCF motif strength.	GM
chr9	92729406	92729618	3	4.17557	1	SNP that moderately affects CTCF motif strength.	GM
chr10	50660262	50660378	2	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr10	79779445	79779653	2	3.36242671905	1	SNP that moderately affects CTCF motif strength.	GM
chr10	86139213	86139281	2	4.17557	1	SNP that moderately affects CTCF motif strength.	GM
chr10	102669851	102670060	3	14.3377581862	2	SNP that strongly alters CTCF motif strength.	GM
chr11	116217183	116217247	1	11.0408	2	SNP that strongly alters CTCF motif strength.	GM
chr12	50132686	50132754	1	18.7679	2	SNP that strongly alters CTCF motif strength.	GM
chr12	125533573	125533677	1	0.635545870871	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr13	20489336	20489406	1	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr14	71166623	71166723	1	3.77968	1	SNP that moderately affects CTCF motif strength.	GM
chr14	106694861	106695070	2	1.06832	1	SNP that moderately affects CTCF motif strength.	GM
chr16	31159818	31159896	3	4.34799	1	SNP that moderately affects CTCF motif strength.	GM
chr17	26603750	26604060	1	5.07078284353	2	SNP that strongly alters CTCF motif strength.	GM
chr17	46253969	46254065	1	0.0152628922817	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr18	10438003	10438087	1	3.97572291751	1	SNP that moderately affects CTCF motif strength.	GM
chr19	605143	605947	2	1.89608670893	1	SNP that moderately affects CTCF motif strength.	GM
chr19	14888818	14889068	2	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr19	42885020	42885140	1	0.893989	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr20	25861636	25861758	1	3.94281518753	1	SNP that moderately affects CTCF motif strength.	GM
chr21	37220854	37221646	3	1.00404	1	SNP that moderately affects CTCF motif strength.	GM
chr21	42107947	42108109	1	4.00888	1	SNP that moderately affects CTCF motif strength.	GM
chr21	46228859	46229137	1	0.0384061	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr22	24259587	24259725	2	2.46186	1	SNP that moderately affects CTCF motif strength.	GM
chrX	12771562	12771702	1	0.190375	0	SNP with no meaningful effect on CTCF motif strength.	GM
