variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines
chr1_119674921_119675013	6.248	0.02	chr1	119674921	119675013	CTCF	3.0	228.0	228	CTCF	7660.0	7556.008	7660.0	92	34	0
chr1_152142120_152142236	6.943	-0.026	chr1	152142120	152142236	CTCF	1.0	123.0	123	CTCF	6740.021	6862.0	6862.0	116	52	0
chr1_160990397_160990445	-5.966	0.057	chr1	160990397	160990445	CTCF	125.0	2.0	125	CTCF	6830.0	6566.036	6830.0	48	79	0
chr1_161566293_161566389	-6.248	-0.081	chr1	161566293	161566389	CTCF	76.0	1.0	76	CTCF	4579.802	4843.75	4843.75	96	83	0
chr1_16352318_16352686	6.966	-0.022	chr1	16352318	16352686	CTCF	1.0	125.0	125	CTCF	1427.016	1449.0	1449.0	368	88	0
chr1_206911183_206911383	5.392	-0.035	chr1	206911183	206911383	CTCF	1.0	42.0	42	CTCF	5238.02	5368.0	5368.0	200	174	0
chr1_44925011_44925443	5.285	-0.064	chr1	44925011	44925443	CTCF	1.0	39.0	39	CTCF	1185.793	1239.5	1239.5	432	334	0
chr2_112048889_112050095	6.285	0.0	chr2	112048889	112050095	CTCF	1.0	78.0	78	CTCF	5420.0	5420.0	5420.0	1206	2091	0
chr2_113297317_113297963	5.555	-0.006	chr2	113297317	113297963	CTCF	1.0	47.0	47	CTCF	367.504	369.0	369.0	646	2101	0
chr2_113587391_113587443	-6.57	-0.01	chr2	113587391	113587443	CTCF	95.0	1.0	95	CTCF	3478.007	3502.0	3502.0	52	2102	0
chr2_113603481_113604625	-7.7	0.001	chr2	113603481	113604625	CTCF	208.0	1.0	208	CTCF	887.0	886.501	887.0	1144	2103	0
chr2_131682071_131682999	-6.087	-0.047	chr2	131682071	131682999	CTCF	136.0	2.0	136	CTCF	680.532	703.0	703.0	928	2150	0
chr2_140964473_140964617	6.755	-0.017	chr2	140964473	140964617	CTCF	1.0	108.0	108	CTCF	4243.011	4292.0	4292.0	144	2159	0
chr2_149561312_149561696	-6.209	-0.001	chr2	149561312	149561696	CTCF	74.0	1.0	74	CTCF	4202.999	4205.0	4205.0	384	2167	0
chr2_17470906_17471122	-7.066	0.047	chr2	17470906	17471122	CTCF	134.0	1.0	134	CTCF	6758.0	6541.032	6758.0	216	2213	0
chr2_215002518_215002956	-7.087	-0.002	chr2	215002518	215002956	CTCF	136.0	1.0	136	CTCF	4644.252	4651.5	4651.5	438	2289	0
chr2_232327200_232327338	5.672	0.079	chr2	232327200	232327338	CTCF	2.0	102.0	102	CTCF	9418.0	8916.052	9418.0	138	2338	0
chr2_237512860_237513100	-5.931	-0.006	chr2	237512860	237513100	CTCF	61.0	1.0	61	CTCF	12004.0	12056.0	12056.0	240	2361	0
chr2_46698529_46699379	-6.304	0.007	chr2	46698529	46699379	CTCF	79.0	1.0	79	CTCF	497.0	494.505	497.0	850	2465	0
chr2_95345667_95345787	7.276	0.003	chr2	95345667	95345787	CTCF	1.0	155.0	155	CTCF	8596.0	8579.991	8596.0	120	2556	0
chr3_12287448_12288102	5.977	0.076	chr3	12287448	12288102	CTCF	1.0	63.0	63	CTCF	1445.5	1371.551	1445.5	654	2812	0
chr3_125766408_125766488	-7.585	-0.013	chr3	125766408	125766488	CTCF	192.0	1.0	192	CTCF	7660.011	7728.0	7728.0	80	2815	0
chr3_151283049_151283237	6.768	-0.017	chr3	151283049	151283237	CTCF	1.0	109.0	109	CTCF	6001.012	6072.0	6072.0	188	2861	0
chr3_171163271_171163480	5.672	-0.025	chr3	171163271	171163480	CTCF	1.0	51.0	51	CTCF	5328.016	5422.0	5422.0	209	2878	0
chr4_10461395_10461519	-6.19	-0.016	chr4	10461395	10461519	CTCF	73.0	1.0	73	CTCF	3655.011	3695.0	3695.0	124	3019	0
chr4_169270433_169271387	6.109	-0.026	chr4	169270433	169271387	CTCF	1.0	69.0	69	CTCF	2176.019	2216.0	2216.0	954	3089	0
chr4_169613273_169613365	-7.615	-0.059	chr4	169613273	169613365	CTCF	196.0	1.0	196	CTCF	7189.043	7488.0	7488.0	92	3090	0
chr5_177303473_177303993	-5.728	-0.006	chr5	177303473	177303993	CTCF	53.0	1.0	53	CTCF	1264.004	1269.0	1269.0	520	3364	0
chr5_34464631_34466195	-5.304	-0.014	chr5	34464631	34466195	CTCF	79.0	2.0	79	CTCF	297.01	300.0	300.0	1564	3386	0
chr5_57298297_57298427	-7.18	0.002	chr5	57298297	57298427	CTCF	145.0	1.0	145	CTCF	7758.0	7748.006	7758.0	130	3417	0
chr6_149028954_149029176	6.19	0.007	chr6	149028954	149029176	CTCF	1.0	73.0	73	CTCF	7060.0	7024.003	7060.0	222	3549	0
chr6_163416851_163416989	6.459	-0.011	chr6	163416851	163416989	CTCF	1.0	88.0	88	CTCF	4000.007	4030.0	4030.0	138	3587	0
chr6_36615303_36615355	-7.18	0.038	chr6	36615303	36615355	CTCF	145.0	1.0	145	CTCF	7854.0	7652.029	7854.0	52	3736	0
chr6_44223293_44224051	5.044	-0.012	chr6	44223293	44224051	CTCF	1.0	33.0	33	CTCF	1200.009	1210.0	1210.0	758	3771	0
chr6_73739228_73739356	7.055	0.03	chr6	73739228	73739356	CTCF	1.0	133.0	133	CTCF	6944.0	6800.021	6944.0	128	3802	0
chr7_1875392_1875818	-5.858	0.022	chr7	1875392	1875818	CTCF	58.0	1.0	58	CTCF	4095.0	4033.017	4095.0	426	3911	0
chr7_22559927_22560149	-5.044	-0.0	chr7	22559927	22560149	CTCF	33.0	1.0	33	CTCF	9313.999	9316.0	9316.0	222	3917	0
chr7_3897477_3897705	-5.426	-0.038	chr7	3897477	3897705	CTCF	43.0	1.0	43	CTCF	5154.029	5291.0	5291.0	228	3959	0
