variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines
chr1_101238834_101238948	-0.139	-0.045	chr1	101238834	101238948	CTCF	142.0	129.0	142	CTCF	5748.53	5930.0	5930.0	114	0	1
chr1_10668338_10668738	-0.16	0.03	chr1	10668338	10668738	CTCF	19.0	17.0	19	CTCF	1258.0	1232.021	1258.0	400	2	1
chr1_10692287_10692731	-0.322	-0.001	chr1	10692287	10692731	CTCF	40.0	32.0	40	CTCF	2307.001	2309.0	2309.0	444	3	1
chr1_107750513_107750599	0.104	0.016	chr1	107750513	107750599	CTCF	67.0	72.0	72	CTCF	7772.0	7688.011	7772.0	86	4	1
chr1_10848201_10848410	0.766	0.097	chr1	10848201	10848410	CTCF	10.0	17.0	17	CTCF	780.0	729.066	780.0	209	5	1
chr1_109306081_109306290	2.07	0.147	chr1	109306081	109306290	CTCF	5.0	21.0	21	CTCF	798.0	720.597	798.0	209	6	0
chr1_109393075_109393217	0.067	0.024	chr1	109393075	109393217	CTCF	21.0	22.0	22	CTCF	1316.0	1294.017	1316.0	142	7	1
chr1_109466476_109466864	-0.252	0.001	chr1	109466476	109466864	CTCF	25.0	21.0	25	CTCF	1508.0	1507.001	1508.0	388	8	1
chr1_109532166_109533144	-0.188	0.022	chr1	109532166	109533144	CTCF	41.0	36.0	41	CTCF	3257.0	3207.016	3257.0	978	9	1
chr1_109655982_109656144	1.064	1.009	chr1	109655982	109656144	CTCF	22.0	46.0	46	CTCF	2050.0	1018.503	2050.0	162	10	1
chr1_109704131_109704540	0.387	-0.012	chr1	109704131	109704540	CTCF	13.0	17.0	17	CTCF	1109.009	1118.5	1118.5	409	11	1
chr1_109960585_109960679	0.111	0.021	chr1	109960585	109960679	CTCF	25.0	27.0	27	CTCF	2039.0	2009.015	2039.0	94	12	1
chr1_110130401_110130610	-0.801	0.17	chr1	110130401	110130610	CTCF	61.0	35.0	61	CTCF	3986.0	3542.112	3986.0	209	13	1
chr1_110312726_110312832	-0.104	0.024	chr1	110312726	110312832	CTCF	129.0	120.0	129	CTCF	10038.0	9872.021	10038.0	106	14	1
