variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines
chr1_109306081_109306290	2.07	0.147	chr1	109306081	109306290	CTCF	5.0	21.0	21	CTCF	798.0	720.597	798.0	209	6	0
chr1_109655982_109656144	1.064	1.009	chr1	109655982	109656144	CTCF	22.0	46.0	46	CTCF	2050.0	1018.503	2050.0	162	10	1
chr1_111813789_111814141	1.138	0.019	chr1	111813789	111814141	CTCF	15.0	33.0	33	CTCF	1243.0	1226.513	1243.0	352	20	0
chr1_116672611_116672820	3.17	3.74	chr1	116672611	116672820	CTCF	5.0	45.0	45	CTCF	5462.0	408.925	5462.0	209	24	1
chr1_116919871_116920080	-4.954	0.006	chr1	116919871	116920080	CTCF	31.0	1.0	31	CTCF	3077.5	3064.504	3077.5	209	25	0
chr1_11749285_11749383	1.916	0.674	chr1	11749285	11749383	CTCF	31.0	117.0	117	CTCF	6739.0	4222.373	6739.0	98	28	0
chr1_117672174_117672270	-1.074	-0.857	chr1	117672174	117672270	CTCF	120.0	57.0	120	CTCF	3638.447	6588.0	6588.0	96	29	1
chr1_11907648_11908278	-1.33	-0.694	chr1	11907648	11908278	CTCF	186.0	74.0	186	CTCF	2238.383	3620.0	3620.0	630	32	1
chr1_119674921_119675013	6.248	0.02	chr1	119674921	119675013	CTCF	3.0	228.0	228	CTCF	7660.0	7556.008	7660.0	92	34	0
chr1_11982041_11982250	1.874	1.99	chr1	11982041	11982250	CTCF	6.0	22.0	22	CTCF	1880.0	473.248	1880.0	209	38	1
chr1_119886257_119886417	-1.807	-0.1	chr1	119886257	119886417	CTCF	140.0	40.0	140	CTCF	6724.07	7206.0	7206.0	160	39	0
chr1_149708706_149708784	5.0	0.297	chr1	149708706	149708784	CTCF	1.0	32.0	32	CTCF	859.375	699.685	859.375	78	46	0
chr1_151135541_151135750	3.663	2.581	chr1	151135541	151135750	CTCF	3.0	38.0	38	CTCF	2453.0	409.833	2453.0	209	50	0
chr1_152142120_152142236	6.943	-0.026	chr1	152142120	152142236	CTCF	1.0	123.0	123	CTCF	6740.021	6862.0	6862.0	116	52	0
chr1_154749197_154749313	-4.248	0.03	chr1	154749197	154749313	CTCF	19.0	1.0	19	CTCF	4060.0	3976.024	4060.0	116	58	0
chr1_15526333_15526927	-2.392	-0.006	chr1	15526333	15526927	CTCF	21.0	4.0	21	CTCF	692.004	695.0	695.0	594	63	0
chr1_157311247_157311325	3.907	-0.636	chr1	157311247	157311325	CTCF	4.0	60.0	60	CTCF	4284.358	6660.0	6660.0	78	71	0
chr1_160692563_160692731	5.087	-0.234	chr1	160692563	160692731	CTCF	1.0	34.0	34	CTCF	1829.651	2152.5	2152.5	168	76	0
chr1_160777541_160777750	-1.367	-0.005	chr1	160777541	160777750	CTCF	49.0	19.0	49	CTCF	4006.004	4020.0	4020.0	209	77	0
chr1_160990397_160990445	-5.966	0.057	chr1	160990397	160990445	CTCF	125.0	2.0	125	CTCF	6830.0	6566.036	6830.0	48	79	0
chr1_161054661_161055070	1.524	0.684	chr1	161054661	161055070	CTCF	8.0	23.0	23	CTCF	921.0	573.377	921.0	409	80	1
chr1_161566293_161566389	-6.248	-0.081	chr1	161566293	161566389	CTCF	76.0	1.0	76	CTCF	4579.802	4843.75	4843.75	96	83	0
chr1_162392184_162392440	-1.688	0.0	chr1	162392184	162392440	CTCF	29.0	9.0	29	CTCF	6912.0	6912.0	6912.0	256	86	0
chr1_16352318_16352686	6.966	-0.022	chr1	16352318	16352686	CTCF	1.0	125.0	125	CTCF	1427.016	1449.0	1449.0	368	88	0
chr1_167538681_167539090	-1.678	-1.559	chr1	167538681	167539090	CTCF	32.0	10.0	32	CTCF	580.161	1709.75	1709.75	409	100	1
chr1_172041899_172041941	1.322	0.07	chr1	172041899	172041941	CTCF	10.0	25.0	25	CTCF	2306.5	2196.548	2306.5	42	113	0
chr1_173691278_173691344	-0.061	1.622	chr1	173691278	173691344	CTCF	24.0	23.0	24	CTCF	5781.0	1878.425	5781.0	66	118	0
chr1_174144221_174144781	-3.129	0.908	chr1	174144221	174144781	CTCF	105.0	12.0	105	CTCF	1289.0	686.967	1289.0	560	119	0
chr1_178551425_178551509	-3.524	-0.706	chr1	178551425	178551509	CTCF	23.0	2.0	23	CTCF	401.887	655.5	655.5	84	125	0
chr1_18468581_18468790	-1.126	0.15	chr1	18468581	18468790	CTCF	24.0	11.0	24	CTCF	862.5	777.099	862.5	209	132	0
chr1_18575703_18575927	1.479	0.509	chr1	18575703	18575927	CTCF	66.0	184.0	184	CTCF	10508.0	7384.305	10508.0	224	133	1
chr1_192808747_192809093	-2.807	0.014	chr1	192808747	192809093	CTCF	112.0	16.0	112	CTCF	1702.0	1686.009	1702.0	346	139	0
chr1_196723486_196723684	1.037	0.625	chr1	196723486	196723684	CTCF	76.0	156.0	156	CTCF	9464.0	6135.351	9464.0	198	144	1
chr1_200302120_200302724	4.7	-0.056	chr1	200302120	200302724	CTCF	1.0	26.0	26	CTCF	691.288	718.5	718.5	604	148	0
chr1_201184977_201185143	-4.629	-2.58	chr1	201184977	201185143	CTCF	198.0	8.0	198	CTCF	866.832	5183.0	5183.0	166	150	0
