variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines	GENOME	along-x
chr1_116672611_116672820	3.17	3.74	chr1	116672611	116672820	CTCF	5.0	45.0	45	CTCF	5462.0	408.925	5462.0	209	24	1	HepG2	0
chr1_89085945_89086065	3.755	4.328	chr1	89085945	89086065	CTCF_ENCSR000DKV	2.0	27.0	27	CTCF	9518.0	473.95	9518.0	120	117	1	GM12878	0
chr2_109495436_109495514	3.322	2.511	chr2	109495436	109495514	CTCF	3.0	30.0	30	CTCF	1477.0	259.199	1477.0	78	2080	1	HepG2	0
chr2_113297317_113297963	5.555	-0.006	chr2	113297317	113297963	CTCF	1.0	47.0	47	CTCF	367.504	369.0	369.0	646	2101	0	HepG2	1
chr2_113390409_113390627	-6.728	0.003	chr2	113390409	113390627	CTCF_ENCSR000DKV	106.0	1.0	106	CTCF	14122.0	14094.004	14122.0	218	657	0	GM12878	1
chr2_113390409_113390627	-5.615	0.003	chr2	113390409	113390627	CTCF_ENCSR000DRZ	49.0	1.0	49	CTCF	14122.0	14094.004	14122.0	218	482	0	GM12878	1
chr2_17470906_17471122	-7.066	0.047	chr2	17470906	17471122	CTCF	134.0	1.0	134	CTCF	6758.0	6541.032	6758.0	216	2213	0	HepG2	1
chr2_46698529_46699379	-6.304	0.007	chr2	46698529	46699379	CTCF	79.0	1.0	79	CTCF	497.0	494.505	497.0	850	2465	0	HepG2	1
chr5_151239370_151239472	4.7	4.309	chr5	151239370	151239472	CTCF_ENCSR000DRZ	1.0	26.0	26	CTCF	12133.0	612.2	12133.0	102	710	1	GM12878	0
chr5_152462226_152462684	-4.0	-3.719	chr5	152462226	152462684	CTCF_ENCSR000DRZ	16.0	1.0	16	CTCF	311.924	4108.5	4108.5	458	713	1	GM12878	0
chr5_172958820_172959720	-5.129	0.013	chr5	172958820	172959720	CTCF_ENCSR000DKV	35.0	1.0	35	CTCF	647.5	641.509	647.5	900	1034	0	GM12878	1
chr7_23545053_23545173	-4.087	-3.771	chr7	23545053	23545173	CTCF_ENCSR000DKV	17.0	1.0	17	CTCF	484.427	6613.0	6613.0	120	1208	1	GM12878	0
chr8_41390021_41390079	-3.358	-2.645	chr8	41390021	41390079	CTCF	41.0	4.0	41	CTCF	396.465	2480.25	2480.25	58	4207	1	HepG2	0
chr9_35096036_35096640	-6.044	-0.011	chr9	35096036	35096640	CTCF	66.0	1.0	66	CTCF	3511.008	3537.0	3537.0	604	4405	0	HepG2	1
chr10_29449156_29449250	-5.492	-0.003	chr10	29449156	29449250	CTCF_ENCSR000DKV	45.0	1.0	45	CTCF	13838.002	13870.0	13870.0	94	155	0	GM12878	1
chr12_120335597_120335693	-6.895	-0.006	chr12	120335597	120335693	CTCF	238.0	2.0	238	CTCF	7636.003	7666.0	7666.0	96	844	0	HepG2	1
chr12_13024354_13024370	4.415	3.7	chr12	13024354	13024370	CTCF	3.0	64.0	64	CTCF	3637.5	279.923	3637.5	16	864	1	HepG2	0
chr13_20489336_20489406	-4.17	-3.313	chr13	20489336	20489406	CTCF_ENCSR000DRZ	18.0	1.0	18	CTCF	1006.9	10008.0	10008.0	70	234	1	GM12878	0
chr16_87678735_87678895	3.503	2.547	chr16	87678735	87678895	CTCF	9.0	102.0	102	CTCF	3826.0	654.829	3826.0	160	1559	1	HepG2	0
chr17_46253969_46254065	6.066	0.018	chr17	46253969	46254065	CTCF_ENCSR000DKV	1.0	67.0	67	CTCF	8617.5	8513.01	8617.5	96	530	0	GM12878	1
