CHR	POS1	POS2	n_motif_snps	max_abs_delta	strongest_effect	anchor_summary	GENOME
chr1	16352318	16352686	1	0.0304786673517	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr1	116672611	116672820	1	10.7991031361	2	SNP that strongly alters CTCF motif strength.	HG2
chr1	161566293	161566389	1	0.0	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr2	113297317	113297963	1	5.69053854537	2	SNP that strongly alters CTCF motif strength.	HG2
chr2	140964473	140964617	1	0.0	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr2	196850012	196850226	2	15.6684636531	2	SNP that strongly alters CTCF motif strength.	HG2
chr2	232327200	232327338	2	6.41666787127	2	SNP that strongly alters CTCF motif strength.	HG2
chr3	12287448	12288102	2	5.82612011255	2	SNP that strongly alters CTCF motif strength.	HG2
chr3	46442698	46442892	2	19.9440440417	2	SNP that strongly alters CTCF motif strength.	HG2
chr3	125766408	125766488	1	25.4448802672	2	SNP that strongly alters CTCF motif strength.	HG2
chr4	124944111	124944169	4	6.94685033683	2	SNP that strongly alters CTCF motif strength.	HG2
chr4	169270433	169271387	2	15.3289027179	2	SNP that strongly alters CTCF motif strength.	HG2
chr5	34464631	34466195	2	20.9754561324	2	SNP that strongly alters CTCF motif strength.	HG2
chr5	177303473	177303993	1	0.632260272065	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr6	44223293	44224051	1	4.38715660984	1	SNP that moderately affects CTCF motif strength.	HG2
chr7	1875392	1875818	1	0.0	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr7	5856573	5856739	1	16.7248354128	2	SNP that strongly alters CTCF motif strength.	HG2
chr7	98013534	98013680	1	16.7248354128	2	SNP that strongly alters CTCF motif strength.	HG2
chr8	12665354	12665916	4	2.97114950942	1	SNP that moderately affects CTCF motif strength.	HG2
chr9	3135071	3135480	3	7.26620914055	2	SNP that strongly alters CTCF motif strength.	HG2
chr9	120755885	120756121	2	10.2234577271	2	SNP that strongly alters CTCF motif strength.	HG2
chr10	14991479	14991617	3	0.459072479852	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr10	42866787	42866959	2	22.1916522978	2	SNP that strongly alters CTCF motif strength.	HG2
chr12	9319349	9319457	1	19.0374111527	2	SNP that strongly alters CTCF motif strength.	HG2
chr13	74215604	74215652	2	12.8815317611	2	SNP that strongly alters CTCF motif strength.	HG2
chr13	112893661	112894621	1	1.60729596858	1	SNP that moderately affects CTCF motif strength.	HG2
chr15	77910508	77911030	3	11.8531963769	2	SNP that strongly alters CTCF motif strength.	HG2
chr15	78751158	78751292	1	14.4172468928	2	SNP that strongly alters CTCF motif strength.	HG2
chr15	90301318	90301456	1	24.6238179657	2	SNP that strongly alters CTCF motif strength.	HG2
chr16	6573691	6573900	1	15.7318331932	2	SNP that strongly alters CTCF motif strength.	HG2
chr16	11326771	11327180	1	0.0	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr16	13904931	13905140	1	2.84815289365	1	SNP that moderately affects CTCF motif strength.	HG2
chr16	14974880	14975298	3	10.8233387637	2	SNP that strongly alters CTCF motif strength.	HG2
chr16	29179386	29179954	3	14.9418922836	2	SNP that strongly alters CTCF motif strength.	HG2
chr16	87496311	87496520	1	2.25468170975	1	SNP that moderately affects CTCF motif strength.	HG2
chr16	87678735	87678895	1	13.0905861949	2	SNP that strongly alters CTCF motif strength.	HG2
chr17	47843131	47843340	1	0.178178537127	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr17	75012190	75013092	4	10.2344542678	2	SNP that strongly alters CTCF motif strength.	HG2
chr17	75524864	75525902	1	0.0818096644399	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr18	7568503	7568791	1	0.718610946696	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr18	30081221	30081430	2	15.0655335389	2	SNP that strongly alters CTCF motif strength.	HG2
chr19	12440863	12441259	1	0.912140031964	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr19	14288935	14289055	2	4.6147793785	1	SNP that moderately affects CTCF motif strength.	HG2
