variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines
chr1_111197722_111197774	-4.129	-3.962	chr1	111197722	111197774	CTCF_ENCSR000DKV	35.0	2.0	35	CTCF	657.935	10256.0	10256.0	52	10	1
chr1_111197722_111197774	-4.644	-3.962	chr1	111197722	111197774	CTCF_ENCSR000DRZ	25.0	1.0	25	CTCF	657.935	10256.0	10256.0	52	10	1
chr1_153617749_153617807	-4.954	-4.948	chr1	153617749	153617807	CTCF_ENCSR000DKV	31.0	1.0	31	CTCF	290.718	8975.0	8975.0	58	26	1
chr1_153617749_153617807	-4.7	-4.948	chr1	153617749	153617807	CTCF_ENCSR000DRZ	26.0	1.0	26	CTCF	290.718	8975.0	8975.0	58	20	1
chr1_161647624_161647808	3.17	0.065	chr1	161647624	161647808	CTCF_ENCSR000DKV	2.0	18.0	18	CTCF	4738.5	4531.045	4738.5	184	41	0
chr1_182069091_182069300	-4.0	-5.167	chr1	182069091	182069300	CTCF_ENCSR000DKV	16.0	1.0	16	CTCF	232.972	8371.0	8371.0	209	54	0
chr1_182069091_182069300	-4.858	-5.167	chr1	182069091	182069300	CTCF_ENCSR000DRZ	29.0	1.0	29	CTCF	232.972	8371.0	8371.0	209	38	1
chr1_196827861_196828319	3.087	0.082	chr1	196827861	196828319	CTCF_ENCSR000DKV	2.0	17.0	17	CTCF	2984.5	2820.055	2984.5	458	57	0
chr1_211649168_211649222	-4.087	-4.882	chr1	211649168	211649222	CTCF_ENCSR000AKB	17.0	1.0	17	CTCF	206.466	6086.25	6086.25	54	29	1
chr1_211649168_211649222	-4.392	-4.882	chr1	211649168	211649222	CTCF_ENCSR000DKV	21.0	1.0	21	CTCF	206.466	6086.25	6086.25	54	69	1
chr1_211649168_211649222	-4.322	-4.882	chr1	211649168	211649222	CTCF_ENCSR000DRZ	20.0	1.0	20	CTCF	206.466	6086.25	6086.25	54	49	1
chr1_242936905_242936961	4.0	2.206	chr1	242936905	242936961	CTCF_ENCSR000DRZ	1.0	16.0	16	CTCF	4575.0	991.783	4575.0	56	59	0
chr1_30782988_30783126	4.248	2.603	chr1	30782988	30783126	CTCF_ENCSR000DKV	1.0	19.0	19	CTCF	11376.0	1872.837	11376.0	138	95	0
chr1_30782988_30783126	3.273	2.603	chr1	30782988	30783126	CTCF_ENCSR000DRZ	3.0	29.0	29	CTCF	11376.0	1872.837	11376.0	138	68	1
chr1_39799070_39799850	-4.426	-0.118	chr1	39799070	39799850	CTCF_ENCSR000AKB	43.0	2.0	43	CTCF	846.579	919.0	919.0	780	41	0
chr1_39799070_39799850	-6.322	-0.118	chr1	39799070	39799850	CTCF_ENCSR000DKV	80.0	1.0	80	CTCF	846.579	919.0	919.0	780	100	0
chr1_39799070_39799850	-5.358	-0.118	chr1	39799070	39799850	CTCF_ENCSR000DRZ	41.0	1.0	41	CTCF	846.579	919.0	919.0	780	71	0
chr1_75842491_75842881	-4.0	-0.115	chr1	75842491	75842881	CTCF_ENCSR000DRZ	16.0	1.0	16	CTCF	1665.577	1803.5	1803.5	390	78	0
chr1_89085945_89086065	3.755	4.328	chr1	89085945	89086065	CTCF_ENCSR000DKV	2.0	27.0	27	CTCF	9518.0	473.95	9518.0	120	117	1
chr1_89085945_89086065	3.524	4.328	chr1	89085945	89086065	CTCF_ENCSR000DRZ	2.0	23.0	23	CTCF	9518.0	473.95	9518.0	120	82	1
chr1_94805952_94806032	3.087	0.001	chr1	94805952	94806032	CTCF_ENCSR000DRZ	2.0	17.0	17	CTCF	10740.0	10734.996	10740.0	80	86	0
chr2_112433652_112433728	-4.0	-0.042	chr2	112433652	112433728	CTCF_ENCSR000DKV	16.0	1.0	16	CTCF	6336.535	6523.5	6523.5	76	655	0
chr2_112433652_112433728	-4.0	-0.042	chr2	112433652	112433728	CTCF_ENCSR000DRZ	16.0	1.0	16	CTCF	6336.535	6523.5	6523.5	76	480	0
chr2_113390409_113390627	-4.248	0.003	chr2	113390409	113390627	CTCF_ENCSR000AKB	57.0	3.0	57	CTCF	14122.0	14094.004	14122.0	218	291	0
chr2_113390409_113390627	-6.728	0.003	chr2	113390409	113390627	CTCF_ENCSR000DKV	106.0	1.0	106	CTCF	14122.0	14094.004	14122.0	218	657	0
chr2_113390409_113390627	-5.615	0.003	chr2	113390409	113390627	CTCF_ENCSR000DRZ	49.0	1.0	49	CTCF	14122.0	14094.004	14122.0	218	482	0
chr2_113979627_113979899	5.907	-0.057	chr2	113979627	113979899	CTCF_ENCSR000AKB	1.0	60.0	60	CTCF	5580.037	5803.0	5803.0	272	292	0
chr2_113979627_113979899	3.907	-0.057	chr2	113979627	113979899	CTCF_ENCSR000DKV	6.0	90.0	90	CTCF	5580.037	5803.0	5803.0	272	658	0
