variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines	GENOME	along-x
chr1_116672611_116672820	3.17	3.74	chr1	116672611	116672820	CTCF	5.0	45.0	45	CTCF	5462.0	408.925	5462.0	209	24	1	HepG2	0
chr1_29880726_29880764	3.087	3.427	chr1	29880726	29880764	CTCF	2.0	17.0	17	CTCF	3132.0	291.157	3132.0	38	275	1	HepG2	0
chr2_109495436_109495514	3.322	2.511	chr2	109495436	109495514	CTCF	3.0	30.0	30	CTCF	1477.0	259.199	1477.0	78	2080	1	HepG2	0
chr2_113390409_113390627	-6.728	0.003	chr2	113390409	113390627	CTCF_ENCSR000DKV	106.0	1.0	106	CTCF	14122.0	14094.004	14122.0	218	657	0	GM12878	1
chr2_113390409_113390627	-5.615	0.003	chr2	113390409	113390627	CTCF_ENCSR000DRZ	49.0	1.0	49	CTCF	14122.0	14094.004	14122.0	218	482	0	GM12878	1
chr2_113979627_113979899	5.907	-0.057	chr2	113979627	113979899	CTCF_ENCSR000AKB	1.0	60.0	60	CTCF	5580.037	5803.0	5803.0	272	292	0	GM12878	1
chr2_140964473_140964617	6.755	-0.017	chr2	140964473	140964617	CTCF	1.0	108.0	108	CTCF	4243.011	4292.0	4292.0	144	2159	0	HepG2	1
chr4_124944111_124944169	-3.059	-2.683	chr4	124944111	124944169	CTCF	25.0	3.0	25	CTCF	264.094	1696.5	1696.5	58	3039	1	HepG2	0
chr5_120656016_120656046	3.17	2.458	chr5	120656016	120656046	CTCF_ENCSR000DRZ	2.0	18.0	18	CTCF	6454.0	1174.818	6454.0	30	701	1	GM12878	0
chr5_152462226_152462684	-4.087	-3.719	chr5	152462226	152462684	CTCF_ENCSR000AKB	17.0	1.0	17	CTCF	311.924	4108.5	4108.5	458	422	1	GM12878	0
chr9_92729406_92729618	3.624	3.264	chr9	92729406	92729618	CTCF_ENCSR000DKV	3.0	37.0	37	CTCF	5387.0	560.896	5387.0	212	1361	1	GM12878	0
chr10_50660262_50660378	5.17	-0.01	chr10	50660262	50660378	CTCF_ENCSR000DKV	1.0	36.0	36	CTCF	5635.001	5673.0	5673.0	116	169	0	GM12878	1
chr12_123972695_123973325	5.807	0.047	chr12	123972695	123973325	CTCF	2.0	112.0	112	CTCF	1661.5	1608.532	1661.5	630	854	0	HepG2	1
chr13_74215604_74215652	-4.17	-3.262	chr13	74215604	74215652	CTCF	72.0	4.0	72	CTCF	223.068	2139.719	2139.7188	48	1101	1	HepG2	0
chr14_71166623_71166723	4.0	3.066	chr14	71166623	71166723	CTCF_ENCSR000DKV	1.0	16.0	16	CTCF	5951.0	710.381	5951.0	100	400	1	GM12878	0
chr16_2027581_2027790	-6.931	0.073	chr16	2027581	2027790	CTCF	122.0	1.0	122	CTCF	2015.0	1915.049	2015.0	209	1397	0	HepG2	1
chr16_87496311_87496520	-5.781	0.04	chr16	87496311	87496520	CTCF	55.0	1.0	55	CTCF	1876.0	1825.026	1876.0	209	1555	0	HepG2	1
chr17_46253969_46254065	5.358	0.018	chr17	46253969	46254065	CTCF_ENCSR000DRZ	1.0	41.0	41	CTCF	8617.5	8513.01	8617.5	96	385	0	GM12878	1
chr18_10438003_10438087	3.273	3.771	chr18	10438003	10438087	CTCF_ENCSR000DKV	3.0	29.0	29	CTCF	6166.0	451.677	6166.0	84	559	1	GM12878	0
chr19_12440863_12441259	-5.459	-0.036	chr19	12440863	12441259	CTCF	44.0	1.0	44	CTCF	2762.024	2832.0	2832.0	396	1916	0	HepG2	1
