variant_id	DIFF_LOG2_data1	DIFF_LOG2_data2	CHR	POS1	POS2	transcription_factor_data1	haplotype1_data1	haplotype2_data1	HMAX_data1	transcription_factor_data2	haplotype1_data2	haplotype2_data2	HMAX_data2	LENGTH	Unnamed: 0	btwn_lines	GENOME	prediction_quality
chr1_1019276_1019776	-1.248	0.02	chr1	1019276	1019776	CTCF_ENCSR000DKV	19.0	8.0	19	CTCF	4027.0	3970.516	4027.0	500	4	0	GM12878	bad
chr1_1019276_1019776	-1.17	0.02	chr1	1019276	1019776	CTCF_ENCSR000DRZ	18.0	8.0	18	CTCF	4027.0	3970.516	4027.0	500	4	0	GM12878	bad
chr1_10210346_10210508	-1.254	-0.0	chr1	10210346	10210508	CTCF_ENCSR000AKB	31.0	13.0	31	CTCF	13403.994	13408.0	13408.0	162	3	0	GM12878	bad
chr1_109655982_109656144	1.064	1.009	chr1	109655982	109656144	CTCF	22.0	46.0	46	CTCF	2050.0	1018.503	2050.0	162	10	1	HepG2	good
chr1_111197722_111197774	-4.129	-3.962	chr1	111197722	111197774	CTCF_ENCSR000DKV	35.0	2.0	35	CTCF	657.935	10256.0	10256.0	52	10	1	GM12878	good
chr1_111197722_111197774	-4.644	-3.962	chr1	111197722	111197774	CTCF_ENCSR000DRZ	25.0	1.0	25	CTCF	657.935	10256.0	10256.0	52	10	1	GM12878	good
chr1_111747402_111747448	1.29	-0.02	chr1	111747402	111747448	CTCF_ENCSR000DRZ	9.0	22.0	22	CTCF	11700.018	11860.0	11860.0	46	12	0	GM12878	bad
chr1_111813789_111814141	1.138	0.019	chr1	111813789	111814141	CTCF	15.0	33.0	33	CTCF	1243.0	1226.513	1243.0	352	20	0	HepG2	bad
chr1_115112895_115113061	1.152	-0.0	chr1	115112895	115113061	CTCF_ENCSR000AKB	9.0	20.0	20	CTCF	12230.006	12234.0	12234.0	166	7	0	GM12878	bad
chr1_116672611_116672820	3.17	3.74	chr1	116672611	116672820	CTCF	5.0	45.0	45	CTCF	5462.0	408.925	5462.0	209	24	1	HepG2	good
chr1_116919871_116920080	-4.954	0.006	chr1	116919871	116920080	CTCF	31.0	1.0	31	CTCF	3077.5	3064.504	3077.5	209	25	0	HepG2	bad
chr1_117672174_117672270	-1.074	-0.857	chr1	117672174	117672270	CTCF	120.0	57.0	120	CTCF	3638.447	6588.0	6588.0	96	29	1	HepG2	good
chr1_11907648_11908278	-1.33	-0.694	chr1	11907648	11908278	CTCF	186.0	74.0	186	CTCF	2238.383	3620.0	3620.0	630	32	1	HepG2	good
chr1_119674921_119675013	6.248	0.02	chr1	119674921	119675013	CTCF	3.0	228.0	228	CTCF	7660.0	7556.008	7660.0	92	34	0	HepG2	bad
chr1_11982041_11982250	1.874	1.99	chr1	11982041	11982250	CTCF	6.0	22.0	22	CTCF	1880.0	473.248	1880.0	209	38	1	HepG2	good
chr1_15100471_15100623	1.115	0.007	chr1	15100471	15100623	CTCF_ENCSR000DRZ	12.0	26.0	26	CTCF	13740.0	13676.008	13740.0	152	17	0	GM12878	bad
