CHR	POS1	POS2	n_motif_snps	max_abs_delta	strongest_effect	anchor_summary	GENOME
chr1	983948	984502	2	2.39034115257	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	4060861	4061070	2	4.27107	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	6124858	6125053	2	6.57682429084	2	SNP that strongly alters CTCF motif strength.	HG2
chr1	7509291	7510100	3	2.85850813106	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	11907648	11908278	2	18.6615735731	2	SNP that strongly alters CTCF motif strength.	HG2
chr1	16352318	16352686	1	4.26069	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	18575703	18575927	3	6.59769	2	SNP that strongly alters CTCF motif strength.	HG2
chr1	21854983	21856217	1	1.38729	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	25523601	25523810	1	1.00404	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	30783042	30783139	1	6.76971	2	SNP that strongly alters CTCF motif strength.	HG2
chr1	34592401	34592610	3	3.34468312536	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	36576200	36576312	1	1.64998172683	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	37990043	37990273	3	7.55873	2	SNP that strongly alters CTCF motif strength.	HG2
chr1	40782786	40782824	1	3.61904	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	40802371	40802507	1	0.258921	0	SNP with no meaningful effect on CTCF motif strength.	HG2
chr1	42924326	42924494	3	2.19488377729	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	43936475	43937039	2	1.2335	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	47624648	47624724	1	6.59769	2	SNP that strongly alters CTCF motif strength.	HG2
chr1	53541811	53542020	1	3.77968	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	54808397	54809173	6	3.63697105142	1	SNP that moderately affects CTCF motif strength.	HG2
chr1	62131244	62131356	3	5.39208	2	SNP that strongly alters CTCF motif strength.	HG2
chr1	63367422	63367828	1	7.55873	2	SNP that strongly alters CTCF motif strength.	HG2
chr1	64744341	64744929	2	1.93692	1	SNP that moderately affects CTCF motif strength.	HG2
