CHR	POS1	POS2	n_motif_snps	max_abs_delta	strongest_effect	anchor_summary	GENOME
chr1	89085945	89086065	2	20.0273376495	2	SNP that strongly alters CTCF motif strength.	GM
chr1	153617749	153617807	3	12.4402898785	2	SNP that strongly alters CTCF motif strength.	GM
chr1	211649168	211649222	2	6.05194188388	2	SNP that strongly alters CTCF motif strength.	GM
chr4	156378259	156378319	1	11.1706386208	2	SNP that strongly alters CTCF motif strength.	GM
chr5	33470723	33470777	2	15.8512293955	2	SNP that strongly alters CTCF motif strength.	GM
chr5	133287677	133287723	1	21.4310800383	2	SNP that strongly alters CTCF motif strength.	GM
chr5	151239370	151239472	2	19.1843132177	2	SNP that strongly alters CTCF motif strength.	GM
chr7	23545053	23545173	2	6.94060618545	2	SNP that strongly alters CTCF motif strength.	GM
chr9	92729406	92729618	3	18.1883846437	2	SNP that strongly alters CTCF motif strength.	GM
chr10	50660262	50660378	2	18.6379282182	2	SNP that strongly alters CTCF motif strength.	GM
chr10	86139213	86139281	2	15.0397543565	2	SNP that strongly alters CTCF motif strength.	GM
chr11	116217183	116217247	1	7.28659180719	2	SNP that strongly alters CTCF motif strength.	GM
chr12	50132686	50132754	1	19.3801915741	2	SNP that strongly alters CTCF motif strength.	GM
chr14	71166623	71166723	1	4.15573315915	1	SNP that moderately affects CTCF motif strength.	GM
chr17	46253969	46254065	1	0.0152628922817	0	SNP with no meaningful effect on CTCF motif strength.	GM
chr18	10438003	10438087	1	3.97572291751	1	SNP that moderately affects CTCF motif strength.	GM
